ID,sentence
common_voice_zh-CN_27175119.mp3,坎貝爾的繼承人是維克上校。
common_voice_zh-CN_18772132.mp3,整個校園分爲教學區、生活區、家屬區三個部分。
common_voice_zh-CN_19470377.mp3,在得知光秀在山崎之戰中被羽柴秀吉擊敗並戰死後自殺。
common_voice_zh-CN_18571521.mp3,北周時下轄巴西郡。
common_voice_zh-CN_18983537.mp3,黃熱病疫苗不應該用於出現症狀的愛滋病患者。
common_voice_zh-CN_33214950.mp3,這樣的激光器被稱爲鎖模或者鎖相。
common_voice_zh-CN_20400684.mp3,當時張之洞由湖廣總督轉任軍機大臣。
common_voice_zh-CN_26196554.mp3,"儘管沒有使用""三重威脅""這個名字，但他們還是模仿了這個團體的行爲。"
common_voice_zh-CN_18782270.mp3,劉典臣，甘肅武威人，清朝政治人物。
common_voice_zh-CN_33277513.mp3,婦女欲重返職場時
common_voice_zh-CN_24754241.mp3,天愛苑內設有兩個小型的兒童遊樂場及一個涼亭。
common_voice_zh-CN_33054411.mp3,太子司馬紹即位。
common_voice_zh-CN_32590700.mp3,計劃中的東海岸銜接鐵道也將在未來於啓用。
common_voice_zh-CN_19110716.mp3,沙中線全線通車後預定改爲垂直轉乘。
common_voice_zh-CN_19015981.mp3,宋欣橋認爲蔡若蓮的建議中肯。
common_voice_zh-CN_18663544.mp3,循環十號公車
common_voice_zh-CN_33380919.mp3,澤田汐音是日本模特兒和女演員。
common_voice_zh-CN_21943246.mp3,在元朝至正九年由嚴德甫和晏天章寫成。
common_voice_zh-CN_25934532.mp3,同年，一個名爲《Moon Ranger》的盜版版本在遊樂場裏發行開來。
common_voice_zh-CN_33489432.mp3,蘭州交通大學是第一所參與青藏鐵路建設的高校。
common_voice_zh-CN_27753004.mp3,兵事屬南女直湯河司。
common_voice_zh-CN_33498069.mp3,則設於駕駛室的背牆上。
common_voice_zh-CN_18597873.mp3,室內東西二壁各繪四人，北壁繪二人。
common_voice_zh-CN_25410412.mp3,最初存在的半圓形後殿已經被拆除了。
common_voice_zh-CN_21792901.mp3,這座教堂最初是一座哥特式建築。
common_voice_zh-CN_19716875.mp3,該公司是商業托拉斯發展的創新者。
common_voice_zh-CN_22295852.mp3,預計將來會延長至烈士廣場站。
common_voice_zh-CN_33212396.mp3,紐西蘭飲食起源於毛利人的飲食。
common_voice_zh-CN_18652185.mp3,歌德故居可以指：
common_voice_zh-CN_19747325.mp3,亦是無線電視基本藝人合約男藝員。
common_voice_zh-CN_19702981.mp3,任意數量的全同玻色子都可以處於同樣量子態。
common_voice_zh-CN_20159628.mp3,他的作品也全部被禁。
common_voice_zh-CN_33581219.mp3,鱗皮扇菇是屬於生物發光的幾十種真菌中的一個。
common_voice_zh-CN_33495706.mp3,一德樓遺址的歷史年代爲明。
common_voice_zh-CN_22123510.mp3,管轄範圍主要在今浙江省湖州市南潯區和江蘇省吳江市平望老運河以南地區。
common_voice_zh-CN_25655588.mp3,五代十國南吳太祖楊行密妻。
common_voice_zh-CN_18990411.mp3,白脈韭是蔥科蔥屬的變種。
common_voice_zh-CN_32680945.mp3,蔚嶺關現建築爲清光緒十八年重建。
common_voice_zh-CN_18659756.mp3,奧薩奇是位於美國阿肯色州卡羅爾縣的一個非建制地區。
common_voice_zh-CN_22004814.mp3,操作系統的歷史在某種意義上來說也是計算機的歷史。
common_voice_zh-CN_20785586.mp3,這本書主要關注狗類工作服從能力。
common_voice_zh-CN_18815310.mp3,主演包括羅伯特·英格蘭、珍娜·詹姆森、及。
common_voice_zh-CN_20409509.mp3,如此則能避免因跨月臺緩急接續而造成人流過多。
common_voice_zh-CN_23627106.mp3,大業三年。
common_voice_zh-CN_21401369.mp3,帕爾馬里斯是巴西伯南布哥州的一個市鎮。
common_voice_zh-CN_22257428.mp3,颶風受其以北的一道高壓脊的影響下向西北偏西移動。
common_voice_zh-CN_33484016.mp3,首府摩德納。
common_voice_zh-CN_33585603.mp3,達夫尼修道院建在古代阿波羅神廟的遺址之上。
common_voice_zh-CN_18992870.mp3,彼得羅夫卡農村居民點是俄羅斯聯邦沃羅涅日州巴甫洛夫斯克區所屬的一個農村居民點。
common_voice_zh-CN_32663982.mp3,里氏袋鼬屬等之數種哺乳動物。
